id,slot_start_date_time,slot_length,sent_user_id,msg_tmpl,client_id,send_alert_id,send_flag,last_updated,status
1,2023-07-01 13:45:00,60,1,1,2,6,,2023-06-29 07:02:09.552078,sent
2,2023-07-01 13:45:00,60,1,1,4,6,,2023-06-29 07:02:09.70993,failed
3,2023-07-01 13:45:00,60,1,1,7,6,,2023-06-29 07:02:09.891479,sent
4,2023-06-30 09:00:00,60,1,1,5,7,,2023-06-29 07:04:08.614479,failed
5,2023-06-30 09:00:00,60,1,1,2,7,,2023-06-29 07:04:08.836031,sent
6,2023-06-30 09:00:00,60,1,1,7,7,,2023-06-29 07:04:09.069858,sent
7,2023-06-01 11:30:00,180,1,1,2,2,,2023-06-29 08:43:42.173383,sent
8,2023-06-01 11:30:00,180,1,1,4,2,,2023-06-29 08:43:42.316176,failed
9,2023-06-01 11:30:00,180,1,1,7,2,,2023-06-29 08:43:42.525915,sent
10,2023-06-30 08:45:00,60,1,1,2,8,,2023-06-29 08:45:27.765491,sent
11,2023-06-30 08:45:00,60,1,1,5,8,,2023-06-29 08:45:27.925742,failed
12,2023-06-30 08:45:00,60,1,1,7,8,,2023-06-29 08:45:28.300899,sent
13,2023-06-29 21:40:00,90,1,1,2,9,,2023-06-29 21:41:27.570934,sent
14,2023-06-29 21:40:00,90,1,1,4,9,,2023-06-29 21:41:27.711811,failed
15,2023-06-29 21:40:00,90,1,1,7,9,,2023-06-29 21:41:27.920918,sent
16,2023-07-03 13:45:00,180,1,1,7,10,,2023-06-29 21:44:08.38286,sent
17,2023-07-03 13:45:00,180,1,1,3,10,,2023-06-29 21:44:08.673183,sent
18,2023-07-03 13:45:00,180,1,1,1,10,,2023-06-29 21:44:08.829412,failed
19,2023-07-03 13:50:00,180,1,1,2,12,,2023-06-29 21:47:16.648752,sent
20,2023-07-03 13:50:00,180,1,1,7,12,,2023-06-29 21:47:16.892664,sent
21,2023-07-03 13:50:00,180,1,1,1,12,,2023-06-29 21:47:17.04885,failed
22,2023-06-29 22:26:00,60,1,1,2,14,,2023-06-29 22:27:40.721475,sent
23,2023-06-29 22:26:00,60,1,1,4,14,,2023-06-29 22:27:40.871969,failed
24,2023-06-29 22:26:00,60,1,1,7,14,,2023-06-29 22:27:41.101022,sent
25,2023-06-30 10:30:00,60,1,1,2,15,,2023-06-29 22:29:37.550488,sent
26,2023-06-30 10:30:00,60,1,1,7,15,,2023-06-29 22:29:38.012732,sent
27,2023-07-08 13:45:00,120,1,1,2,5,,2023-06-30 00:06:02.649185,sent
28,2023-07-08 13:45:00,120,1,1,7,5,,2023-06-30 00:06:02.976229,sent
29,2023-07-08 13:45:00,120,1,1,4,5,,2023-06-30 00:06:03.191487,failed
30,2023-07-03 00:45:00,180,1,1,7,17,,2023-06-30 00:08:07.725397,sent
31,2023-07-03 00:45:00,180,1,1,3,17,,2023-06-30 00:08:07.954075,sent
32,2023-07-03 00:45:00,180,1,1,2,17,,2023-06-30 00:08:08.161252,sent
33,2023-07-02 23:41:00,60,1,1,2,20,,2023-07-03 03:19:55.327496,sent
34,2023-07-02 23:41:00,60,1,1,5,20,,2023-07-03 03:19:55.467126,failed
35,2023-07-02 23:41:00,60,1,1,7,20,,2023-07-03 03:19:55.741271,sent
